,iterationsNumber,seriousStepNumber,objectiveValue,objectiveValueBar,bestObjectiveValue,bestcertifiedObjectiveValue,mainObjective,delta,gradnorm,mu,mbundle,minEigenvalue,qpTime,oracleTime,bmTime,gramTime,concaTime,num_cuts
0,0,0,2001765.6476912044,2009333.3695252263,2009333.3695252263,2009333.3695252263,2014337.5264484186,2773.1553488250356,124.0920448293727,2.868,0.01,-12571.878757214217,0.8510620594024658,0.39868903160095215,0.021871566772460938,0.006802082061767578,-0.0204927921295166,2842
1,1,0,2008301.7023110702,2009333.3695252263,2009333.3695252263,2009333.3695252263,2010343.5510156264,424.29678816650994,38.81819572025046,2.868,0.01,-2041.8487045562501,4.074197769165039,0.39308762550354004,0.022557973861694336,0.006924629211425781,-0.020900964736938477,2893
2,2,0,2008960.8050224374,2009333.3695252263,2009333.3695252263,2009333.3695252263,2009757.6959253892,230.67777092964388,19.49080965746829,2.868,0.01,-796.8909029517708,4.1705217361450195,0.4030594825744629,0.022600412368774414,0.007031440734863281,-0.0211942195892334,2947
3,3,0,2009271.5623252215,2009333.3695252263,2009333.3695252263,2009333.3695252263,2009713.8808315902,211.45511545985937,16.356692524013354,2.868,0.01,-442.31850636866665,1.6956398487091064,0.3922698497772217,0.023067474365234375,0.007069826126098633,-0.021750211715698242,3030
4,4,1,2009378.4144620604,2009378.4144620604,2009378.4144620604,2009378.414460296,2009704.40354472,209.04064821987413,15.86774089559739,2.868,0.01,-325.9890826595702,0.8915762901306152,0.39245128631591797,0.024192094802856445,0.007109403610229492,-0.022112369537353516,3130
5,5,1,2008942.2064562617,2009378.4144620604,2009378.4144620604,2009378.414460296,2009652.274884205,245.50078634149395,15.046424356157889,2.868,0.01,-710.0684279433578,0.9122343063354492,0.39460206031799316,0.02456212043762207,0.00723719596862793,-0.022644519805908203,3261
6,6,1,2009350.9093122159,2009378.4144620604,2009378.4144620604,2009378.414460296,2009682.3571978079,168.76145836547948,7.325493257922283,2.868,0.01,-331.4478855918976,4.141975164413452,0.3938131332397461,0.02320075035095215,0.007775783538818359,-0.023363828659057617,3337
7,7,2,2009399.4811797747,2009399.4811797747,2009399.4811797747,2009399.4811777945,2009671.1542812805,162.7430184155237,6.866974528003952,2.7245999999999997,0.01,-271.67310150567687,0.9102737903594971,0.3955197334289551,0.026246070861816406,0.007828474044799805,-0.023929119110107422,3464
8,8,2,2009313.4349628228,2009399.4811797747,2009399.4811797747,2009399.4811777945,2009699.6368630975,156.10721564944834,6.231834153418998,2.7245999999999997,0.01,-386.2019002748364,0.925983190536499,0.39940404891967773,0.021860837936401367,0.008105993270874023,-0.025591611862182617,3496
9,9,3,2009436.918348751,2009436.918348751,2009436.918348751,2009436.9183468472,2009698.3359130393,149.03308202978224,5.38019239119044,2.5883699999999994,0.01,-261.4175642883436,0.9204726219177246,0.3947319984436035,0.026041746139526367,0.008054733276367188,-0.025018692016601562,3624
