Problem
  Name                   : OPF-rank-relaxation
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 736931          
  Cones                  : 1               
  Scalar variables       : 290081          
  Matrix variables       : 4273            
  Integer variables      : 0               

Optimizer started.
Presolve started.
Linear dependency checker started.
Linear dependency checker terminated.
Eliminator started.
Freed constraints in eliminator : 95728
Eliminator terminated.
Eliminator started.
Freed constraints in eliminator : 0
Eliminator terminated.
Eliminator - tries                  : 2                 time                   : 0.00            
Lin. dep.  - tries                  : 1                 time                   : 0.16            
Lin. dep.  - number                 : 0               
Presolve terminated. Time: 0.80    
GP based matrix reordering started.
GP based matrix reordering terminated.
Problem
  Name                   : OPF-rank-relaxation
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 736931          
  Cones                  : 1               
  Scalar variables       : 290081          
  Matrix variables       : 4273            
  Integer variables      : 0               

Optimizer  - threads                : 16              
Optimizer  - solved problem         : the primal      
Optimizer  - Constraints            : 601308
Optimizer  - Cones                  : 2
Optimizer  - Scalar variables       : 208338            conic                  : 188590          
Optimizer  - Semi-definite variables: 4273              scalarized             : 307781          
Factor     - setup time             : 666.60            dense det. time        : 129.49          
Factor     - ML order time          : 46.24             GP order time          : 232.23          
Factor     - nonzeros before factor : 5.23e+08          after factor           : 9.14e+08        
Factor     - dense dim.             : 5983              flops                  : 5.74e+12        
Factor     - GP saved nzs           : 3.85e+09          GP saved flops         : 1.83e+14        
ITE PFEAS    DFEAS    GFEAS    PRSTATUS   POBJ              DOBJ              MU       TIME  
0   8.5e+00  6.0e+02  3.1e+00  0.00e+00   4.172339624e-01   -1.704086381e+00  1.0e+00  668.44
1   8.2e+00  5.8e+02  3.1e+00  -9.30e-01  -2.912708062e+02  -2.933567788e+02  9.7e-01  728.05
2   7.3e+00  5.1e+02  2.8e+00  -8.87e-01  -1.557636529e+03  -1.559584331e+03  8.6e-01  780.39
3   6.4e+00  4.5e+02  2.5e+00  -6.85e-01  -2.513302420e+03  -2.515082607e+03  7.6e-01  831.67
4   5.3e+00  3.7e+02  1.8e+00  -2.93e-01  -2.676804781e+03  -2.678325876e+03  6.3e-01  881.68
5   3.7e+00  2.6e+02  9.4e-01  2.53e-01   -1.773751807e+03  -1.774869311e+03  4.3e-01  932.13
6   1.5e+00  1.0e+02  2.5e-01  5.64e-01   -1.014879575e+03  -1.015366934e+03  1.7e-01  984.10
7   6.8e-01  4.7e+01  9.1e-02  7.21e-01   -6.084878534e+02  -6.087224159e+02  8.0e-02  1035.11
8   2.2e-01  1.5e+01  1.8e-02  8.26e-01   -2.965427179e+02  -2.966175853e+02  2.5e-02  1087.89
9   1.4e-01  9.5e+00  9.0e-03  9.97e-01   -1.996914496e+02  -1.997376518e+02  1.6e-02  1139.63
10  1.1e-01  7.5e+00  6.2e-03  1.06e+00   -1.544340788e+02  -1.544694600e+02  1.2e-02  1190.56
11  4.3e-02  3.0e+00  1.5e-03  1.08e+00   -5.192719534e+01  -5.194085742e+01  5.0e-03  1244.69
12  3.2e-02  2.2e+00  9.8e-04  1.14e+00   -2.998096459e+01  -2.999081631e+01  3.7e-03  1296.60
13  2.1e-02  1.5e+00  5.4e-04  1.12e+00   -9.791133047e+00  -9.797515425e+00  2.5e-03  1347.00
14  1.4e-02  1.0e+00  3.0e-04  1.05e+00   4.719673719e+00   4.715490269e+00   1.7e-03  1396.84
15  1.0e-02  7.3e-01  2.0e-04  9.33e-01   1.366685376e+01   1.366377857e+01   1.2e-03  1448.59
16  8.9e-03  6.3e-01  1.6e-04  8.40e-01   1.758486898e+01   1.758219289e+01   1.0e-03  1498.66
17  8.1e-03  5.7e-01  1.4e-04  8.01e-01   1.977195982e+01   1.976950434e+01   9.5e-04  1547.67
18  6.9e-03  4.9e-01  1.2e-04  7.74e-01   2.346397157e+01   2.346184049e+01   8.2e-04  1597.22
19  6.5e-03  4.5e-01  1.1e-04  7.51e-01   2.490435849e+01   2.490235250e+01   7.6e-04  1646.78
20  5.6e-03  4.0e-01  8.9e-05  7.26e-01   2.775917938e+01   2.775740513e+01   6.6e-04  1697.24
21  5.0e-03  3.5e-01  7.5e-05  7.00e-01   3.041692369e+01   3.041534212e+01   5.8e-04  1748.29
22  4.3e-03  3.1e-01  6.3e-05  6.96e-01   3.310216322e+01   3.310075749e+01   5.1e-04  1801.71
23  3.8e-03  2.6e-01  5.2e-05  6.65e-01   3.574705647e+01   3.574581783e+01   4.4e-04  1852.66
24  3.5e-03  2.5e-01  4.8e-05  6.56e-01   3.680646735e+01   3.680529930e+01   4.2e-04  1902.94
25  2.8e-03  2.0e-01  3.6e-05  6.62e-01   4.042112818e+01   4.042016802e+01   3.4e-04  1954.85
26  2.5e-03  1.8e-01  3.1e-05  6.46e-01   4.236968072e+01   4.236882941e+01   2.9e-04  2005.15
27  2.3e-03  1.6e-01  2.8e-05  6.46e-01   4.342656498e+01   4.342577879e+01   2.7e-04  2054.72
28  1.9e-03  1.4e-01  2.2e-05  6.15e-01   4.560685399e+01   4.560619358e+01   2.3e-04  2106.46
29  1.8e-03  1.3e-01  2.1e-05  5.35e-01   4.618706670e+01   4.618643620e+01   2.2e-04  2157.35
30  1.8e-03  1.3e-01  2.0e-05  5.51e-01   4.644692605e+01   4.644631015e+01   2.1e-04  2207.46
31  1.7e-03  1.2e-01  1.9e-05  5.31e-01   4.686353631e+01   4.686295111e+01   2.0e-04  2260.87
32  1.7e-03  1.2e-01  1.9e-05  5.14e-01   4.710326359e+01   4.710270102e+01   1.9e-04  2314.86
33  1.5e-03  1.0e-01  1.6e-05  4.53e-01   4.802646174e+01   4.802597127e+01   1.7e-04  2366.95
34  1.4e-03  1.0e-01  1.6e-05  4.32e-01   4.824807885e+01   4.824760079e+01   1.7e-04  2418.01
35  1.4e-03  9.8e-02  1.6e-05  4.27e-01   4.850128968e+01   4.850082717e+01   1.6e-04  2468.88
36  1.2e-03  8.6e-02  1.3e-05  4.03e-01   4.991453399e+01   4.991413359e+01   1.4e-04  2520.95
37  1.2e-03  8.2e-02  1.3e-05  3.91e-01   5.043901527e+01   5.043863627e+01   1.4e-04  2570.95
38  1.1e-03  7.8e-02  1.2e-05  3.84e-01   5.106218341e+01   5.106182853e+01   1.3e-04  2621.35
39  1.0e-03  7.4e-02  1.1e-05  4.01e-01   5.172080979e+01   5.172047508e+01   1.2e-04  2673.93
40  1.0e-03  7.1e-02  1.1e-05  4.33e-01   5.215934165e+01   5.215902418e+01   1.2e-04  2724.17
41  9.6e-04  6.7e-02  1.0e-05  4.22e-01   5.263034390e+01   5.263004927e+01   1.1e-04  2775.74
42  9.3e-04  6.5e-02  9.8e-06  3.48e-01   5.285901277e+01   5.285872890e+01   1.1e-04  2829.99
43  8.9e-04  6.3e-02  9.4e-06  3.25e-01   5.319649894e+01   5.319623173e+01   1.1e-04  2880.29
44  8.6e-04  6.1e-02  9.0e-06  3.39e-01   5.345622491e+01   5.345597346e+01   1.0e-04  2930.24
45  8.0e-04  5.6e-02  8.3e-06  3.34e-01   5.441804536e+01   5.441781566e+01   9.5e-05  2980.11
46  7.8e-04  5.5e-02  7.9e-06  3.59e-01   5.476500304e+01   5.476478534e+01   9.1e-05  3030.21
47  7.2e-04  5.0e-02  7.3e-06  3.07e-01   5.534595214e+01   5.534576640e+01   8.4e-05  3081.09
48  6.9e-04  4.9e-02  7.1e-06  2.51e-01   5.555829982e+01   5.555812970e+01   8.1e-05  3132.04
49  6.7e-04  4.7e-02  7.0e-06  1.59e-01   5.543798341e+01   5.543783167e+01   7.9e-05  3183.14
50  6.2e-04  4.3e-02  6.5e-06  1.30e-01   5.576511990e+01   5.576500836e+01   7.3e-05  3235.86
51  6.0e-04  4.2e-02  6.3e-06  9.36e-02   5.591327992e+01   5.591317785e+01   7.1e-05  3288.02
52  5.4e-04  3.8e-02  5.5e-06  1.13e-01   5.738990304e+01   5.738983459e+01   6.3e-05  3339.35
53  4.5e-04  3.1e-02  4.1e-06  3.54e-01   6.145529387e+01   6.145521497e+01   5.2e-05  3389.55
54  2.7e-04  1.9e-02  2.2e-06  4.86e-01   6.719323796e+01   6.719322674e+01   3.2e-05  3442.99
55  2.7e-04  1.9e-02  2.2e-06  5.62e-01   6.730519155e+01   6.730518086e+01   3.2e-05  3493.06
56  2.6e-04  1.8e-02  2.0e-06  5.97e-01   6.807292321e+01   6.807292022e+01   3.0e-05  3544.23
57  2.5e-04  1.8e-02  2.0e-06  5.85e-01   6.812627166e+01   6.812626711e+01   3.0e-05  3594.17
58  2.5e-04  1.8e-02  2.0e-06  5.81e-01   6.822028960e+01   6.822028727e+01   3.0e-05  3643.18
59  2.1e-04  1.4e-02  1.5e-06  5.66e-01   7.058465876e+01   7.058466208e+01   2.4e-05  3692.90
60  9.2e-05  6.5e-03  4.9e-07  7.18e-01   7.628856740e+01   7.628860066e+01   1.1e-05  3746.61
61  8.8e-05  6.2e-03  4.6e-07  8.94e-01   7.652334520e+01   7.652337868e+01   1.0e-05  3797.68
62  5.0e-05  3.5e-03  2.1e-07  8.95e-01   7.891033964e+01   7.891036651e+01   5.9e-06  3850.41
63  4.1e-05  2.9e-03  1.6e-07  9.34e-01   7.946988310e+01   7.946990773e+01   4.9e-06  3902.61
64  4.1e-05  2.9e-03  1.5e-07  9.42e-01   7.951771555e+01   7.951774023e+01   4.8e-06  3998.84
65  3.8e-05  2.7e-03  1.4e-07  9.16e-01   7.965703531e+01   7.965705994e+01   4.5e-06  4048.58
66  3.8e-05  2.6e-03  1.4e-07  9.08e-01   7.965874303e+01   7.965876865e+01   4.4e-06  4101.06
67  3.5e-05  2.4e-03  1.2e-07  8.87e-01   7.998571801e+01   7.998573878e+01   4.1e-06  4197.30
68  2.2e-05  1.5e-03  6.2e-08  9.45e-01   8.084994361e+01   8.084996075e+01   2.5e-06  4248.52
69  1.3e-05  8.9e-04  2.8e-08  9.56e-01   8.154951937e+01   8.154953081e+01   1.5e-06  4299.53
70  1.1e-05  7.9e-04  2.4e-08  9.92e-01   8.166054482e+01   8.166055532e+01   1.3e-06  4349.14
71  8.8e-06  6.2e-04  1.7e-08  9.85e-01   8.184959879e+01   8.184960774e+01   1.0e-06  4399.41
72  3.8e-06  2.7e-04  4.9e-09  9.88e-01   8.227314257e+01   8.227314716e+01   4.5e-07  4451.83
73  1.9e-06  1.3e-04  1.7e-09  9.91e-01   8.244555139e+01   8.244555386e+01   2.2e-07  4539.54
74  6.6e-07  4.6e-05  3.7e-10  9.95e-01   8.255796460e+01   8.255796556e+01   7.7e-08  4590.21
75  3.6e-07  2.5e-05  1.5e-10  9.98e-01   8.258733257e+01   8.258733310e+01   4.2e-08  4639.86
76  9.6e-08  3.6e-06  8.1e-12  9.99e-01   8.261708707e+01   8.261708716e+01   5.9e-09  4691.40
77  9.6e-08  3.6e-06  8.1e-12  1.00e+00   8.261708707e+01   8.261708716e+01   5.9e-09  4781.38
78  9.6e-08  3.6e-06  8.1e-12  1.00e+00   8.261708707e+01   8.261708716e+01   5.9e-09  4835.64
Optimizer terminated. Time: 4890.96 


Interior-point solution summary
  Problem status  : PRIMAL_AND_DUAL_FEASIBLE
  Solution status : OPTIMAL
  Primal.  obj: 8.2617087075e+01    nrm: 1e+02    Viol.  con: 3e+00    var: 0e+00    barvar: 0e+00    cones: 0e+00  
  Dual.    obj: 8.2617087160e+01    nrm: 5e+02    Viol.  con: 2e-09    var: 3e-07    barvar: 4e-07    cones: 0e+00  
