2,3,0,0.0146,0,2196,2196,2196,0,0,1,-30,30,526.52,-53.077,-526.52,90.995,1.1946e-12,1.1946e-12,0,0
2,4,0,0.0173,0,1853,1853,1853,0.9545,0,1,-30,30,-1453.3,107.85,1453.3,202.58,3.1545e-12,2.8172e-12,0,0
3,8,0.00179,0.01988,2.576,1606,1606,1606,0,0,1,-30,30,526.52,-90.995,-521.96,-137.88,1.7233e-12,1.7327e-12,0,0
5,6,0,0.01238,0,2589,2589,2589,0,0,1,-30,30,-440.55,90.148,440.55,-69.757,9.809e-13,9.809e-13,0,0
5,11,0,0.015,0,2137,2137,2137,0,0,1,-30,30,-1348.1,193.36,1348.1,33.271,1.7384e-12,1.7384e-12,0,0
17,5,0.00977,0.11,2,291,291,291,0,0,1,-30,30,-279.7,-108.68,286.75,-43.194,4.379e-10,4.483e-11,0,0
5,160,0.00811,0.1369,2.4348,234,234,234,0,0,1,-30,30,230.89,-117.94,-227.3,-115.48,2.7516,3.5375,0,0
7,8,0,0.011,0,2914,2914,2914,1.063,0,1,-30,30,35.203,16.595,-35.203,-16.44,8.5497e-13,8.5508e-13,0,0
7,8,0,0.011,0,2914,2914,2914,1.063,0,1,-30,30,35.203,16.595,-35.203,-16.44,8.5497e-13,8.5508e-13,0,0
7,28,0,0.00408,0,5501.8,7856,7856,0,0,1,-30,30,-70.405,-170.34,70.405,171.48,4.3991e-13,4.3991e-13,0,0
8,9,0,0.0059,0,5432,5432,5432,0,0,1,-30,30,-353.67,347.4,353.67,-333.85,4.4909e-13,4.4909e-13,0,0
8,10,0.00028,0.0138,0,2322,2322,2322,0,0,1,-30,30,85.846,12.491,-85.826,-11.521,1.0694e-12,1.0694e-12,0,0
8,10,0.00029,0.0139,0,2306,2306,2306,0,0,1,-30,30,85.234,12.352,-85.214,-11.389,1.0769e-12,1.0769e-12,0,0
8,17,0.0005,0.0053,0.0882,2202.3,6021,6021,0,0,1,-30,30,671.79,-188.64,-669.53,203.16,1.2439e-12,1.2429e-12,0,0
163,8,0.0048,0.0436,0.7078,731,731,731,0,0,1,-30,30,10.623,49.129,-10.281,-124.55,3.4233e-12,3.5049e-12,0,0
12,13,0,0.00666,0,4813,4813,4813,1.08,0,1,-30,30,-1037.3,347.46,1037.3,-259.71,5.442e-13,5.4894e-13,0,0
12,20,0,0.00634,0,5055,5055,5055,0,0,1,-30,30,214.77,-256.62,-214.77,263.32,4.8271e-13,4.827e-13,0,0
12,22,0,0.01188,0,2698,2698,2698,0,0,1,-30,30,126.11,-336.56,-126.11,351.04,9.332e-13,9.332e-13,0,0
12,139,0.0028,0.0211,1.0194,1506,1506,1506,0,0,1,-30,30,591.3,-21.347,-582.03,-15.194,1.9343e-12,1.9337e-12,0,0
21,14,0,0.00634,0,5055,5055,5055,0,0,1,-30,30,214.2,-119.28,-214.2,122.57,4.8166e-13,4.8166e-13,0,0
14,24,0,0.00826,0,3880,3880,3880,0,0,1,-30,30,61.302,-205.62,-61.302,208.86,6.3465e-13,6.3465e-13,0,0
