1,2.0475,-157.24,157.99,-157.99,1.0474,100,1,64.82,1.59,0,0,0,0,0,0,0,0,0,0,64.818,2.1544e-09,2.9562e-07,4.2902e-10,1.8019e-07
2,169.76,-43.313,35.12,-43.9,1.03,100,1,170.7,55.22,0,0,0,0,0,0,0,0,0,0,170.7,1.4441e-07,1.1807e-09,1.7243e-09,2.3031e-07
3,45.436,-103.58,118.84,-148.55,1.0297,100,1,46.11,9.2,0,0,0,0,0,0,0,0,0,0,46.109,2.0062e-07,3.7322e-09,6.0803e-10,3.0074e-09
5,156.06,92.648,93.15,-93.15,1.0588,100,1,228.68,155.54,0,0,0,0,0,0,0,0,0,0,228.68,1.8624e-09,2.5766e-07,2.692e-07,7.2788e-10
10,82.297,-80.712,65.04,-81.3,1.0844,100,1,83.06,45.57,0,0,0,0,0,0,0,0,0,0,83.063,1.7727e-07,3.6823e-09,9.2786e-10,2.3014e-07
12,136.67,60.647,106.25,-15,1.0691,166.81,1,137.5,91.67,0,0,0,0,0,0,0,0,0,0,137.5,1.6197e-07,3.0056e-09,2.9656e-09,1.7877e-09
12,0,0,40,-40,1,120,0,120,100,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0
13,136.67,8.2125,85,-15,1.0691,166.81,1,137.5,91.67,0,0,0,0,0,0,0,0,0,0,137.5,1.6198e-07,3.0056e-09,1.7612e-09,5.8261e-09
15,0,0,16.67,-16.67,1,50,0,50,40,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
18,150.59,111.44,112,-32,1.0675,225,1,225,150,0,0,0,0,0,0,0,0,0,0,225,1.8175e-09,2.2943e-07,2.4195e-07,9.4282e-10
19,248.93,122.19,140,-32,1.0675,275.06,1,250,150,0,0,0,0,0,0,0,0,0,0,250,1.2582e-07,1.3671e-09,7.5914e-09,8.7712e-10
19,0,0,66.67,-66.67,1,200,0,200,150,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
19,133.89,113.52,131.22,-32,1.0675,234.36,1,200,133.33,0,0,0,0,0,0,0,0,0,0,200,2.0457e-09,2.4127e-07,7.6422e-09,9.2932e-10
20,462.37,118.91,367.5,-259,0.97952,566.05,1,464,186,0,0,0,0,0,0,0,0,0,0,464,8.3082e-08,4.8933e-10,5.4401e-10,3.5786e-10
24,193.38,-34.51,31.61,-39.51,1.0075,100,1,442.98,192.72,0,0,0,0,0,0,0,0,0,0,442.98,5.4181e-10,2.0625e-07,2.0453e-09,2.705e-08
25,0,0,33.33,-33.33,1,100,0,85.2,70.2,0,0,0,0,0,0,0,0,0,0,85.204,0,0,0,0
32,0,0,33.33,-33.33,1,100,0,177.48,162.48,0,0,0,0,0,0,0,0,0,0,177.48,0,0,0,0
44,54.442,17.72,57,-22,1.0932,61.03,1,55,15,0,0,0,0,0,0,0,0,0,0,55,2.4256e-07,3.4288e-09,3.4429e-09,3.4048e-09
45,68.148,15.884,57,-22,1.0966,68.9,1,68.75,15,0,0,0,0,0,0,0,0,0,0,68.75,2.2479e-07,2.5445e-09,3.2892e-09,3.5698e-09
45,3.5209,19.125,71,-28,1.0966,77,1,77,3,0,0,0,0,0,0,0,0,0,0,77,1.8405e-09,2.5964e-07,2.607e-09,2.8698e-09
59,14.942,-4.9181,13.64,-13.64,1.0737,100,1,36.54,14.5,0,0,0,0,0,0,0,0,0,0,36.54,6.2616e-09,3.0596e-07,7.2873e-09,1.5506e-08
64,0,0,33.33,-33.33,1,100,0,38.85,23.85,0,0,0,0,0,0,0,0,0,0,38.851,0,0,0,0
80,0,0,16.67,-16.67,1,50,0,50,35,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
80,17.172,9.472,10,-177,1.0904,28,1,35,16.67,0,0,0,0,0,0,0,0,0,0,35,7.5855e-09,2.6964e-07,2.5614e-07,7.2525e-10
82,0,0,33.33,-33.33,1,100,0,30.55,15.55,0,0,0,0,0,0,0,0,0,0,30.546,0,0,0,0
84,0,0,66.67,-66.67,1,200,0,200,150,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
85,199.06,-7.4107,111,-18,1.091,253.76,1,200,150,0,0,0,0,0,0,0,0,0,0,200,1.4347e-07,2.7567e-09,1.1421e-09,1.2771e-08
98,0,0,16.67,-16.67,1,50,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
98,54.472,31.831,41.7,-175,1.0878,55,1,55,0,0,0,0,0,0,0,0,0,0,0,55,2.5592e-07,2.4827e-09,1.3704e-08,6.5386e-10
98,0,0,18.33,-18.33,1,55,0,55,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0
99,0,0,11.67,-11.67,1,35,0,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
99,0,0,10.67,-10.67,1,32,0,32,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
110,0,0,2.33,-2.33,1,7,0,292,5,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0
113,71.557,9.8736,11.04,-11.04,1.0939,100,1,71.88,43.42,0,0,0,0,0,0,0,0,0,0,71.879,4.1849e-07,4.8065e-09,1.1595e-07,6.4665e-09
115,1.6372,-43.089,187,-166,1.0741,4.02,1,271,1,0,0,0,0,0,0,0,0,0,0,271,5.0207e-10,2.1224e-07,5.8776e-10,1.1003e-09
120,0,0,1.33,-1.33,1,4,0,279,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0
120,0,0,1.33,-1.33,1,4,0,251,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0
